	track_id	album_id	artist_id	bit_rate	duration	genre_id
2	2	1	1	256000	168	20.0
3	3	1	1	256000	237	20.0
4	5	1	1	256000	206	20.0
5	10	6	6	192000	161	9.0
11	134	1	1	256000	207	20.0
12	135	58	52	256000	837	11.0
13	136	58	52	256000	509	11.0
14	137	59	53	256000	1233	31.0
15	138	59	53	256000	1231	31.0
16	139	60	54	128000	296	16.0
17	140	61	54	128000	253	16.0
18	141	60	54	128000	182	16.0
19	142	62	54	128000	470	16.0
20	144	64	56	256000	82	3.0
21	145	64	56	256000	326	3.0
22	146	65	56	256000	354	3.0
23	147	65	56	256000	232	3.0
24	148	66	57	256000	138	31.0
25	149	67	58	287639	988	31.0
26	150	67	58	282817	1182	31.0
27	151	68	59	192000	192	11.0
28	152	68	59	192000	193	11.0
29	153	69	60	256000	405	11.0
30	154	69	60	256000	319	11.0
31	155	70	60	192000	756	11.0
32	156	71	546	192000	122	31.0
33	157	71	546	192000	212	31.0
34	158	71	546	192000	473	31.0
35	159	71	546	192000	221	31.0
36	160	71	546	192000	70	31.0
37	161	71	546	192000	147	31.0
38	162	71	546	192000	270	31.0
39	163	71	546	192000	307	31.0
40	164	71	546	192000	236	31.0
41	165	71	546	192000	185	31.0
42	166	71	546	192000	392	31.0
43	167	71	546	192000	278	31.0
44	168	71	546	192000	60	31.0
45	169	72	62	192000	144	11.0
46	170	73	62	192000	181	11.0
47	171	74	62	320000	80	11.0
48	172	75	62	192000	206	11.0
49	173	72	62	192000	218	11.0
50	174	72	62	192000	199	11.0
51	175	73	62	192000	111	11.0
52	176	74	62	320000	160	11.0
53	177	72	62	192000	129	11.0
54	178	76	62	192000	259	11.0
55	179	77	62	320000	90	11.0
56	181	79	64	256000	171	11.0
57	182	80	64	256000	228	11.0
58	183	81	64	256000	260	11.0
59	184	82	64	256000	254	11.0
61	188	84	127	256000	44	16.0
62	189	85	127	256000	283	16.0
63	190	84	127	256000	249	16.0
64	191	85	127	256000	224	16.0
65	192	85	127	256000	40	16.0
66	193	84	127	256000	254	16.0
67	194	84	127	256000	192	16.0
68	195	85	127	256000	339	16.0
69	196	85	127	256000	170	16.0
70	197	84	127	256000	68	16.0
71	198	84	127	256000	269	16.0
72	199	85	127	256000	263	16.0
73	200	84	127	256000	194	16.0
74	201	85	127	256000	210	16.0
75	202	85	127	256000	258	16.0
76	203	84	127	256000	195	16.0
77	204	84	127	256000	324	16.0
78	205	85	127	256000	244	16.0
79	206	85	127	256000	141	16.0
80	207	84	127	256000	96	16.0
81	208	84	127	256000	273	16.0
82	209	84	127	256000	328	16.0
83	210	84	127	256000	184	16.0
84	211	84	127	256000	247	16.0
85	212	84	127	256000	230	16.0
86	213	86	66	256000	247	9.0
87	226	88	68	197144	231	11.0
88	228	88	68	190365	218	11.0
90	237	94	74	256000	450	3.0
91	238	94	74	256000	821	3.0
93	247	100	80	256000	146	11.0
95	249	100	80	256000	125	11.0
98	252	100	80	256000	173	11.0
101	255	100	80	256000	182	11.0
102	256	102	81	256000	202	11.0
103	257	102	81	320000	146	11.0
104	258	102	81	320000	384	11.0
105	273	106	83	128000	111	31.0
106	274	107	83	256000	192	31.0
107	275	105	83	128000	167	31.0
108	276	104	83	128000	186	31.0
109	277	105	83	128000	282	31.0
110	281	107	83	256000	346	31.0
111	282	104	83	128000	323	31.0
112	284	106	83	128000	141	31.0
113	285	105	83	128000	234	31.0
114	293	106	83	128000	311	31.0
115	294	104	83	128000	218	31.0
116	297	107	83	256000	373	31.0
117	300	106	83	128000	192	31.0
118	303	108	84	256000	136	11.0
119	304	109	84	256000	191	11.0
120	305	110	84	256000	159	11.0
121	306	108	84	256000	129	11.0
122	307	108	84	256000	205	11.0
123	308	109	84	256000	186	11.0
124	309	108	84	256000	229	11.0
125	310	110	84	256000	146	11.0
126	311	109	84	256000	205	11.0
127	312	108	84	256000	199	11.0
128	313	109	84	256000	142	11.0
129	314	108	84	256000	166	11.0
130	315	110	84	256000	280	11.0
131	316	110	84	256000	87	11.0
132	317	109	84	256000	198	11.0
133	318	112	84	256000	41	11.0
134	319	108	84	256000	156	11.0
135	320	110	84	256000	316	11.0
136	321	109	84	256000	273	11.0
137	322	108	84	256000	110	11.0
138	323	108	84	256000	237	11.0
139	324	109	84	256000	120	11.0
140	325	110	84	256000	199	11.0
141	326	109	84	256000	105	11.0
142	327	109	84	256000	259	11.0
143	328	109	84	256000	236	11.0
144	330	108	84	256000	270	11.0
145	331	108	84	256000	214	11.0
146	332	112	84	256000	174	11.0
147	333	112	84	256000	96	11.0
148	334	112	84	256000	275	11.0
149	335	112	84	256000	188	11.0
150	336	112	84	256000	204	11.0
151	337	112	84	256000	271	11.0
152	338	112	84	256000	88	11.0
153	339	112	84	256000	110	11.0
154	340	112	84	256000	142	11.0
155	341	112	84	256000	84	11.0
156	342	112	84	256000	55	11.0
157	343	112	84	256000	66	11.0
158	344	112	84	256000	115	11.0
159	345	112	84	256000	202	11.0
160	346	112	84	256000	158	11.0
161	347	112	84	256000	150	11.0
162	348	112	84	256000	165	11.0
163	349	112	84	256000	74	11.0
164	350	112	84	256000	101	11.0
165	351	112	84	256000	249	11.0
166	352	112	84	256000	165	11.0
167	353	112	84	256000	149	11.0
168	354	112	84	256000	60	11.0
169	355	112	84	256000	144	11.0
170	356	112	84	256000	225	11.0
171	357	112	84	256000	139	11.0
172	358	112	84	256000	121	11.0
173	359	112	84	256000	178	11.0
174	360	112	84	256000	126	11.0
175	361	112	84	256000	218	11.0
176	362	112	84	256000	122	11.0
177	363	112	84	256000	165	11.0
178	364	112	84	256000	152	11.0
179	365	112	84	256000	104	11.0
180	366	112	84	256000	144	11.0
181	367	112	84	256000	110	11.0
182	368	112	84	256000	280	11.0
183	369	112	84	256000	185	11.0
184	370	112	84	256000	213	11.0
185	371	112	84	256000	251	11.0
186	384	116	86	256000	249	14.0
187	385	116	86	256000	261	14.0
188	386	116	86	256000	357	14.0
189	387	116	86	256000	326	14.0
190	393	119	89	256000	810	11.0
191	394	119	89	256000	243	11.0
192	395	119	89	256000	380	11.0
193	396	1697	90	256000	1137	14.0
194	397	1697	90	256000	240	14.0
195	398	122	90	256000	344	14.0
196	399	122	90	256000	388	14.0
197	400	1697	90	256000	395	14.0
198	401	1697	90	256000	1076	14.0
199	402	1697	90	256000	541	14.0
200	403	123	90	256000	198	14.0
201	404	1697	90	256000	704	14.0
202	405	122	90	256000	439	14.0
203	406	1697	90	256000	756	14.0
204	407	122	90	256000	354	14.0
205	408	123	90	256000	247	14.0
206	410	122	90	256000	379	14.0
207	411	122	90	256000	146	14.0
208	412	122	90	256000	253	14.0
209	414	122	90	256000	230	14.0
210	416	122	90	256000	745	14.0
211	417	124	91	256000	280	31.0
213	419	124	91	256000	191	31.0
215	421	124	91	256000	116	31.0
218	424	124	91	256000	76	31.0
219	425	125	91	256000	384	31.0
220	426	124	91	256000	114	31.0
221	427	124	91	256000	83	31.0
222	428	124	91	256000	122	31.0
223	429	124	91	256000	136	31.0
224	430	124	91	256000	82	31.0
225	431	124	91	256000	64	31.0
226	432	124	91	256000	80	31.0
227	433	124	91	256000	123	31.0
228	434	124	91	256000	78	31.0
229	435	124	91	256000	177	31.0
230	436	124	91	256000	734	31.0
231	437	124	91	256000	117	31.0
232	438	124	91	256000	352	31.0
233	439	124	91	256000	256	31.0
247	458	129	95	256000	223	11.0
248	459	130	95	128000	301	11.0
254	466	133	98	160000	281	11.0
255	467	134	98	160000	157	11.0
256	468	135	98	160000	296	11.0
257	469	136	98	128000	221	11.0
258	470	134	98	160000	172	11.0
259	471	133	98	160000	199	11.0
260	472	137	98	160000	67	11.0
261	473	136	98	128000	176	11.0
262	474	135	98	160000	187	11.0
263	475	133	98	160000	128	11.0
264	476	137	98	160000	231	11.0
265	477	135	98	160000	177	11.0
266	478	134	98	160000	104	11.0
267	479	136	98	128000	261	11.0
268	480	135	98	160000	58	11.0
269	481	136	98	128000	126	11.0
270	482	137	98	160000	119	11.0
271	483	134	98	160000	115	11.0
272	484	133	98	160000	138	11.0
273	485	135	98	160000	213	11.0
274	486	136	98	128000	170	11.0
275	487	133	98	160000	118	11.0
276	489	137	98	160000	110	11.0
277	490	134	98	160000	210	11.0
278	491	136	98	128000	349	11.0
279	492	134	98	160000	161	11.0
280	493	133	98	160000	243	11.0
281	495	135	98	160000	899	11.0
282	496	137	98	160000	173	11.0
283	497	136	98	128000	59	11.0
284	498	134	98	160000	75	11.0
285	500	137	98	160000	127	11.0
286	501	133	98	160000	326	11.0
287	502	135	98	160000	780	11.0
288	503	137	98	160000	296	11.0
289	504	136	98	128000	242	11.0
290	506	133	98	160000	220	11.0
291	507	134	98	160000	201	11.0
292	508	136	98	128000	235	11.0
293	509	134	98	160000	154	11.0
294	510	137	98	160000	240	11.0
295	511	133	98	160000	158	11.0
296	512	133	98	160000	87	11.0
297	513	136	98	128000	242	11.0
298	514	136	98	128000	178	11.0
299	515	133	98	160000	146	11.0
300	516	136	98	128000	465	11.0
301	517	133	98	160000	301	11.0
302	520	140	98	160000	181	11.0
303	521	140	98	160000	143	11.0
304	522	140	98	160000	127	11.0
305	523	140	98	160000	149	11.0
306	524	140	98	160000	137	11.0
307	525	140	98	160000	195	11.0
308	526	140	98	160000	189	11.0
309	527	140	98	160000	133	11.0
310	528	140	98	160000	146	11.0
311	529	140	98	160000	99	11.0
312	530	140	98	160000	169	11.0
313	531	140	98	160000	211	11.0
314	532	141	100	256000	168	14.0
315	533	141	100	256000	191	14.0
316	534	142	101	128000	80	16.0
317	535	142	101	128000	160	16.0
318	536	142	101	128000	304	16.0
319	537	142	101	128000	406	16.0
320	538	142	101	128000	204	16.0
321	539	142	101	128000	149	16.0
322	540	142	101	128000	309	16.0
323	541	142	101	128000	370	16.0
324	542	142	101	128000	487	16.0
